"Glottocode","Name","Macroarea","Latitude","Longitude","ISO639P3code","Level","Family_ID","Language_ID","Is_Isolate","Family_Name","Isolates_Balanced_Sample","Isolates_Sample","American_Sample","Worldwide_Sample","North_American_Split_Sample","South_American_Split_Sample","North_American_Universal_Sample","South_American_Universal_Sample","North_America_25_SALSA_Sample","Noun_Poss_Sample"
"kala1400","Central Kalapuya","North America",44.9861,-123.925,"kyl","language","kala1402","","false","Kalapuyan","1","1","1",,"1",,"1",,,
"wint1259","Wintu","North America",39.7176,-122.445,"wit","language","wint1258","","false","Wintuan",,"1","1",,"1",,,,"1",
"ngar1284","Ngarinyin","Australia",-16.4006,126.433,"ung","language","worr1236","","false","Worrorran","1","1",,"1",,,,,,"1"
"gara1269","Garrwa","Australia",-17.4504,137.72014,"wrk","language","garr1260","","false","Garrwan","1","1",,"1",,,,,,"1"
"bell1243","Bella Coola","North America",52.3448,-126.689,"blc","language","sali1255","","false","Salishan",,"1","1",,"1",,,,,
"wiyo1248","Wiyot","North America",39.2492,-122.952,"wiy","language","algi1248","","false","Algic",,,"1",,"1",,,,,
"yuro1248","Yurok","North America",41.3262,-123.824,"yur","language","algi1248","","false","Algic",,,"1",,"1",,"1",,,
"cadd1256","Caddo","North America",33.33,-93.5,"cad","language","cadd1255","","false","Caddoan","1","1","1",,"1",,"1",,"1",
"nort2951","Northwest Maidu","North America",39.6721,-121.368,"mjd","language","maid1262","","false","Maiduan",,"1","1",,"1",,,,,
"maun1240","Mawng","Australia",-11.66,133.376,"mph","language","iwai1246","","false","Iwaidjan Proper","1","1",,"1",,,,,,"1"
"sout2982","Southeastern Pomo","North America",38.9354,-122.599,"pom","language","pomo1273","","false","Pomoan",,"1","1",,"1",,"1",,,
"tlin1245","Tlingit","North America",59.4447,-135.29,"tli","language","atha1245","","false","Athabaskan-Eyak-Tlingit",,,"1",,"1",,,,,
"cacu1241","Kakua","South America",0.88778,-69.5659,"cbv","language","kaku1242","","false","Kakua-Nukak",,"1","1",,,"1",,,,"1"
"chay1248","Shawi","South America",-5.63764,-76.8252,"cbt","language","cahu1265","","false","Cahuapanan",,"1","1",,,"1",,,,
"nort2745","Northern Yukaghir","Eurasia",70.498,157.853,"ykg","language","yuka1259","","false","Yukaghir",,,"1",,,,,,,
"kana1291","Katukína-Kanamarí","South America",-6.45399,-68.7678,"knm","language","katu1274","","false","Katukinan",,"1","1",,,"1",,,,
"murr1258","Murriny Patha","Australia",-14.74852,129.70152,"mwf","language","sout2772","","false","Southern Daly","1","1",,"1",,,,,,"1"
"gily1242","Amur Nivkh","Eurasia",52.59,140.681,"niv","language","nivk1234","","false","Nivkh","1","1","1",,,,,,,"1"
"amar1274","Amarakaeri","South America",-12.4931,-70.5533,"amr","language","hara1260","","false","Harakmbut",,"1","1",,,"1",,"1",,"1"
"kamu1258","Kamu","Australia",-13.5393,131.098,"xmu","language","east2374","","false","Eastern Daly","1","1",,"1",,,,,,
"pure1242","Purepecha","North America",19.2467,-101.631,"tsz","language","tara1323","","false","Tarascan","1","1","1",,"1","1",,,,
"sout2956","Southern Haida","North America",53.2616,-132.008,"hax","language","haid1248","","false","Haida",,"1","1",,"1",,"1",,,
"wapp1239","Wappo","North America",38.25,-122.5,"wao","language","yuki1242","","false","Yuki-Wappo","1","1","1",,"1",,,,,
"yuki1243","Northern Yukian","North America",39.8389,-123.296,"yuk","language","yuki1242","","false","Yuki-Wappo",,,"1",,"1",,,,,
"shek1245","Sheko","Africa",7.05022,35.2826,"she","language","dizo1235","","false","Dizoid","1","1",,"1",,,,,,"1"
"misk1235","Mískito","North America",15.1576,-84.2942,"miq","language","misu1242","","false","Misumalpan",,"1","1",,"1","1",,,,
"achu1247","Achumawi","North America",41.0979,-121.191,"acv","language","pala1350","","false","Palaihnihan","1","1","1",,"1",,"1",,,"1"
"chol1284","Cholón","South America",-9.23129,-75.9621,"cht","language","hibi1242","","false","Hibito-Cholon","1","1","1",,,"1",,"1",,
"benc1235","Bench","Africa",7.04682,35.7673,"bcq","language","gong1255","","false","Ta-Ne-Omotic","1","1",,"1",,,,,,"1"
"coos1249","Hanis","North America",43.4413,-124.16,"csz","language","coos1248","","false","Coosan",,"1","1",,"1",,,,,"1"
"mull1237","Mullukmulluk","Australia",-13.427,130.664,"mpb","language","nort1547","","false","Northern Daly","1","1",,"1",,,,,,"1"
"cher1273","Cherokee","North America",35.4664,-83.163,"chr","language","iroq1247","","false","Iroquoian",,,"1",,"1",,,,"1",
"kiow1266","Kiowa","North America",34.9403,-98.9042,"kio","language","kiow1265","","false","Kiowa-Tanoan",,,"1",,"1",,"1",,,
"toll1241","Tol","North America",14.6686,-87.0372,"jic","language","jica1245","","false","Jicaquean",,"1","1",,"1","1",,,"1",
"quil1240","Quileute","North America",47.9106,-124.603,"qui","language","chim1311","","false","Chimakuan",,"1","1",,"1",,,,,"1"
"ticu1245","Ticuna","South America",-3.66289,-69.8723,"tca","language","ticu1244","","false","Ticuna-Yuri",,"1","1",,,"1",,"1",,
"nucl1649","Southern-Coastal Tsimshian","North America",52.59103,-128.544545,"tsi","language","tsim1258","","false","Tsimshian",,,"1",,"1",,,,,
"ofay1240","Ofayé","South America",-22.278,-53.7227,"opy","language","nucl1710","","false","Nuclear-Macro-Je",,,"1",,,"1",,,,
"rikb1245","Rikbaktsa","South America",-11.1887,-58.1942,"rkb","language","nucl1710","","false","Nuclear-Macro-Je",,,"1",,,"1",,,,
"kara1500","Karajá","South America",-11.1881,-50.3492,"kpj","language","nucl1710","","false","Nuclear-Macro-Je",,,"1",,,"1",,,,
"mapu1245","Mapudungun","South America",-38.7392,-71.277,"arn","language","arau1255","","false","Araucanian","1","1","1",,,"1",,"1",,
"cree1270","Creek","North America",31,-87.5,"mus","language","musk1252","","false","Muskogean","1","1","1",,"1",,"1",,,
"bora1263","Bora","South America",-2.000259,-72.257066,"boa","language","bora1262","","false","Boran",,"1","1",,,"1",,,,"1"
"high1242","Highland Oaxaca Chontal","North America",16.1849,-95.7301,"chd","language","tequ1244","","false","Tequistlatecan","1","1","1",,"1","1",,,"1","1"
"mang1381","Mangarrayi","Australia",-14.8,133.5,"mpc","language","mang1423","","false","Mangarrayi-Maran","1","1",,"1",,,,,,"1"
"west2632","Western Keres","North America",34.9733,-107.517,"kjq","language","kere1287","","false","Keresan",,"1","1",,"1",,"1",,"1",
